,name,id,shelfside score,dan score,ash score,categories,descriptions
40,Hellapagos,224272,9.0,8.0,7.0,"['Bluffing', 'Negotiation', 'Party Game']","[<description>Hellapagos is a &amp;quot;co-opetition&amp;quot; game in which players struggle to survive on a desert island and build a raft to escape before a hurricane devastates them. While players need to work together, it's not likely that everyone will survive this backstabbing negotiation game for up to twelve players.&lt;br/&gt;&lt;br/&gt;After becoming shipwrecked, your group of castaways finds themselves on a desert island. At first, the surroundings seem like paradise, but life soon proves difficult. Water and food are scarce. It&amp;rsquo;s doubtful whether everyone can survive this diet. There is only one solution: Construct a large raft together. But don&amp;rsquo;t waste any time, because the clouds on the horizon suggest the arrival of a dangerous hurricane! At the end of the game, the players who manage to leave the island in time will win (assuming anyone survives that long!).&lt;br/&gt;&lt;br/&gt;</description>]"
41,Twilight Imperium: Fourth Edition,233078,10.0,10.0,10.0,"['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","[<description>Twilight Imperium (Fourth Edition) is a game of galactic conquest in which three to six players take on the role of one of seventeen factions vying for galactic domination through military might, political maneuvering, and economic bargaining. Every faction offers a completely different play experience, from the wormhole-hopping Ghosts of Creuss to the Emirates of Hacan, masters of trade and economics. These seventeen races are offered many paths to victory, but only one may sit upon the throne of Mecatol Rex as the new masters of the galaxy.&lt;br/&gt;&lt;br/&gt;No two games of Twilight Imperium are ever identical. At the start of each galactic age, the game board is uniquely and strategically constructed using 51 galaxy tiles that feature everything from lush new planets and supernovas to asteroid fields and gravity rifts. Players are dealt a hand of these tiles and take turns creating the galaxy around Mecatol Rex, the capital planet seated in the center of the board. An ion storm may block your race from progressing through the galaxy while a fortuitously placed gravity rift may protect you from your closest foes. The galaxy is yours to both craft and dominate.&lt;br/&gt;&lt;br/&gt;A round of Twilight Imperium begins with players selecting one of eight strategy cards that both determine player order and give their owner a unique strategic action for that round. These may do anything from providing additional command tokens to allowing a player to control trade throughout the galaxy. After these roles are selected, players take turns moving their fleets from system to system, claiming new planets for their empire, and engaging in warfare and trade with other factions. At the end of a turn, players gather in a grand council to pass new laws and agendas, shaking up the game in unpredictable ways.&lt;br/&gt;&lt;br/&gt;After every player has passed their turn, players move up the victory track by checking to see whether they have completed any objectives throughout the turn and scoring them. Objectives are determined by setting up ten public objective cards at the start of each game, then gradually revealing them with every round. Every player also chooses between two random secret objectives at the start of the game, providing victory points achievable only by the holder of that objective. These objectives can be anything from researching new technologies to taking your neighbor's home system. At the end of every turn, a player can claim one public objective and one secret objective. As play continues, more of these objectives are revealed and more secret objectives are dealt out, giving players dynamically changing goals throughout the game. Play continues until a player reaches ten victory points.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
43,Deep Sea Adventure,169654,7.0,7.0,7.0,"['Dice', 'Exploration', 'Nautical', 'Party Game']","[<description>A group of poor explorers hoping to get rich quickly heads out to recover treasures from some undersea ruins. They're all rivals, but their budgets force them all to share a single rented submarine. In the rented submarine, they all have to share a single tank of air, as well. If they don't get back to the sub before they run out of air, they'll drop all their treasure. Now it's time to see who can bring home the greatest riches.&lt;br/&gt;&lt;br/&gt;Game Objective&lt;br/&gt;The game takes place over 3 rounds, and the player to gain the most points over the 3 rounds is the winner. In order to gain points, you must bring the most ruins chips back to the submarine. You can only return to the submarine once per round, and you cannot progress more after returning. You cannot return to the submarine without bringing any ruins chips.&lt;br/&gt;&lt;br/&gt;Turn Progression&lt;br/&gt;On their turns, players conduct steps 1-4 listed below. Players take turns, going clockwise around the board, and the round ends when all players have returned to the submarine, or if the air runs out at the beginning of someone's turn.&lt;br/&gt;&lt;br/&gt;1) Declare if you will turn back or not.&lt;br/&gt;2) Reduce air.&lt;br/&gt;3) Roll the dice and advance your game piece.&lt;br/&gt;4) Search. (When you have stopped moving, select one of A-C below)&lt;br/&gt;     A) Do nothing.&lt;br/&gt;     B) Pick up ruins chip.&lt;br/&gt;     C) Place a ruins chip.&lt;br/&gt;&lt;br/&gt;</description>]"
44,Tellstones: King's Gambit,298477,4.0,1.0,3.0,"['Abstract Strategy', 'Bluffing', 'Deduction', 'Fantasy', 'Memory']","[<description>Tellstones: King's Gambit is a bluffing game with perfect information for two or four players&lt;br/&gt;&lt;br/&gt;Variants of Tellstones are played throughout Runeterra, the world of the League of Legends video game, with this being a Demacian variant.&lt;br/&gt;&lt;br/&gt;</description>]"
45,Detective: Season One,293531,8.0,7.0,8.0,"['Deduction', 'Murder/Mystery']","[<description>Detective: A Modern Crime Board Game &amp;ndash; Season One, a.k.a. Detective: Season One, is a fully co-operative, deeply immersive board game in which 1-5 players take on the roles of investigators trying to solve a crime.&lt;br/&gt;&lt;br/&gt;Detective: Season One is a new product in the award-winning Detective line, one with a shorter playing time that's tailored for a mystery game night with simpler family-friendly rules. The game consists of three standalone cases, and each of them can be played in around 90 minutes. Each of the cases challenges players with different settings and styles. The cases are:&lt;br/&gt;&lt;br/&gt;&amp;bull; Blood, Ink, and Tears moves the action to Great Britain, where players visit an old mansion and discover family secrets from the past that lead them to clues behind the mysterious death of the family patron. Fans of Agatha Christie's novels will find themselves at home in this rather funny case!&lt;br/&gt;&lt;br/&gt;&amp;bull; Solid Alibi throws players in the middle of a bloody conflict between gangs and criminals in the Italian district. Players have to not only solve the crime and discover who killed Robert Parkson, but also witness growing tension in the district and find out who to trust in the spiral of violence and mutual accusations!&lt;br/&gt;&lt;br/&gt;&amp;bull; Natural Causes takes players to a university campus in the U.S. Professor Calvin Higgs is found dead in his lab at the Biology Institute of Virginia University. Players need to find out whether his death is from natural causes, or perhaps there's someone in his surroundings responsible for this horrible crime. But what could be the motive?&lt;br/&gt;&lt;br/&gt;</description>]"
47,Chinatown,47,9.0,8.0,5.0,"['City Building', 'Economic', 'Negotiation']","[<description>This is a negotiation game in the truest sense of the word. In it, players acquire ownership of sections of city blocks then place tiles, representing businesses, onto the block-sections.  At the end of each turn, each tile you've laid gives you some sort of payout, but completed businesses (formed of three to six connected tiles of the same type) pay quite a bit better.  All these resources are dealt to the players randomly, however, so players must trade to get matching businesses and adjacent locations.&lt;br/&gt;&lt;br/&gt;This game is #2 in the Alea big box series.&lt;br/&gt;&lt;br/&gt;</description>]"
50,War of the Ring: Second Edition,115746,8.0,,9.0,"['Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building', 'Wargame']","[<description>In War of the Ring, one player takes control of the Free Peoples (FP), the other player controls Shadow Armies (SA). Initially, the Free People Nations are reluctant to take arms against Sauron, so they must be attacked by Sauron or persuaded by Gandalf or other Companions, before they start to fight properly: this is represented by the Political Track, which shows if a Nation is ready to fight in the War of the Ring or not.&lt;br/&gt;&lt;br/&gt;The game can be won by a military victory, if Sauron conquers a certain number of Free People cities and strongholds or vice versa. But the true hope of the Free Peoples lies with the quest of the Ringbearer: while the armies clash across Middle-earth, the Fellowship of the Ring is trying to get secretly to Mount Doom to destroy the One Ring. Sauron is not aware of the real intention of his enemies but is looking across Middle-earth for the precious Ring, so that the Fellowship is going to face numerous dangers, represented by the rules of The Hunt for the Ring. But the Companions can spur the Free Peoples to the fight against Sauron, so the Free People player must balance the need to protect the Ringbearer from harm, against the attempt to raise a proper defense against the armies of the Shadow, so that they do not overrun Middle-earth before the Ringbearer completes his quest.&lt;br/&gt;&lt;br/&gt;Each game turn revolves around the roll of Action Dice: each die corresponds to an action that a player can do during a turn. Depending on the face rolled on each die, different actions are possible (moving armies, characters, recruiting troops, advancing a Political Track).&lt;br/&gt;&lt;br/&gt;Action Dice can also be used to draw or play Event Cards. Event Cards are played to represent specific events from the story (or events that could possibly have happened) that cannot be portrayed through normal game-play. Each Event Card can also create an unexpected turn in the game, allowing special actions or altering the course of a battle.&lt;br/&gt;&lt;br/&gt;</description>]"
51,Dominion (Second Edition),209418,9.0,7.0,8.0,"['Card Game', 'Medieval']","[<description>&amp;quot;You are a monarch, like your parents before you, a ruler of a small pleasant kingdom of rivers and evergreens. Unlike your parents, however, you have hopes and dreams! You want a bigger and more pleasant kingdom, with more rivers and a wider variety of trees. You want a Dominion! In all directions lie fiefs, freeholds, and feodums. All are small bits of land, controlled by petty lords and verging on anarchy. You will bring civilization to these people, uniting them under your banner.&lt;br/&gt;&lt;br/&gt;&amp;quot;But wait! It must be something in the air; several other monarchs have had the exact same idea. You must race to get as much of the unclaimed land as possible, fending them off along the way. To do this you will hire minions, construct buildings, spruce up your castle, and fill the coffers of your treasury. Your parents wouldn't be proud, but your grandparents, on your mother's side, would be delighted.'&amp;quot;'&lt;br/&gt;&lt;br/&gt;In Dominion, each player starts with an identical, very small deck of cards. In the center of the table is a selection of other cards the players can &amp;quot;buy&amp;quot; as they can afford them. Through their selection of cards to buy and how they play their hands as they draw them, the players construct their deck on the fly, striving for the most efficient path to the precious victory points by game end.&lt;br/&gt;&lt;br/&gt;Dominion is not a collectible card game (CCG), but the play of the game is similar to the construction and play of a CCG deck. The game comes with 500 cards. You select 10 of the 26 Kingdom card types to include in any given play&amp;mdash;leading to immense variety.&lt;br/&gt;&lt;br/&gt;Dominion (Second Edition) replaces six Kingdom card types from the first edition with six new types of Kingdom cards, while also replacing the blank cards in the game with a seventh new Kingdom card. These new cards are available on their own in the Dominion: Update Pack. The rulebook has been rewritten, three cards have mild functional changes (&amp;quot;you may&amp;quot; added to Moneylender, Mine, Throne Room), and other cards have been rephrased (while remaining functionally the same).&lt;br/&gt;&lt;br/&gt;Dominion: Update Pack contains the seven new kingdom cards introduced in the second edition of Dominion, thereby allowing owners of the first edition to obtain these new cards without needing to repurchase the entire game.&lt;br/&gt;&lt;br/&gt;</description>]"
52,Cosmic Encounter Duel,298572,5.0,,3.0,"['Bluffing', 'Card Game', 'Science Fiction', 'Space Exploration']","[<description>The Cosmic Citizenship Council has announced it will allow two new alien species to join its ranks, but they forgot to make two copies of the filing form &amp;mdash; which means that only one species can join! Now, the two candidates must battle for control of the planets to determine who deserves the right to become a Certified Civilization.&lt;br/&gt;&lt;br/&gt;Cosmic Encounter Duel is a competitive standalone two-player game in the Cosmic Encounter universe in which you and your closest frenemy race to be the first to control five planets. Each of twenty-seven alien species comes equipped with its own unique abilities that play with the game mechanisms in some way, offering you an edge in the fight, e.g., the Cheater, who can reserve an additional tactic that they can put toward any fight in the game &amp;mdash; as long as their opponent doesn't call out how they're trying to &amp;quot;cheat&amp;quot;. How your game of Cosmic Encounter Duel plays out will inevitably be affected by which powers each dueling species has and how they play off of one another.&lt;br/&gt;&lt;br/&gt;In addition to your unique species and its ability, you have twenty spaceships to traverse the cosmos and maintain control over the five planets you need to become a Certified Civilization. As long as you have a ship on a planet, you have control of it, even if your opponent also has ships there and you must share control. You can deploy these ships to fight in duels, use them to act as reinforcements, or draw them back for a tactful retreat. Just don't lose them to the Warp or let them be claimed by the black void between the stars and end up lost in space forever!&lt;br/&gt;&lt;br/&gt;To play, players draw and resolve Destiny cards, which come in three types: Discovery cards, Event cards, and Refresh cards. Discovery cards have you and your opponent discover a planet and duel for control, while Event cards ask you both to test your mettle against a variety of challenges and cosmic calamities, and Refresh cards offer a respite in which you can recover ships, gather allies, and ultimately prepare for another clash.&lt;br/&gt;&lt;br/&gt;At the start of a duel, you and your opponent secretly decide how many ships to send to the planet, and once they have been deployed, you can call upon any befriended envoys. To plan your attack, you secretly choose a card from your hand and a standing tactic from your collection to either guard your ships or blast your opponent's ships, then you fight, sending ships to face-off for control of the planet until the winner claims their prize while the loser retreats. After you and your opponent resolve a Destiny card, you check the icon on the bottom of the card to determine which deck to draw from next, then the race continues.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
53,Star Wars: Rebellion,187645,8.0,,7.0,"['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","[<description>Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players.&lt;br/&gt;&lt;br/&gt;Experience the Galactic Civil War like never before. In Rebellion, you control the entire Galactic Empire or the fledgling Rebel Alliance. You must command starships, account for troop movements, and rally systems to your cause. Given the differences between the Empire and Rebel Alliance, each side has different win conditions, and you'll need to adjust your play style depending on who you represent:&lt;br/&gt;&lt;br/&gt;     As the Imperial player, you can command legions of Stormtroopers, swarms of TIEs, Star Destroyers, and even the Death Star. You rule the galaxy by fear, relying on the power of your massive military to enforce your will. To win the game, you need to snuff out the budding Rebel Alliance by finding its base and obliterating it. Along the way, you can subjugate worlds or even destroy them.&lt;br/&gt;     As the Rebel player, you can command dozens of troopers, T-47 airspeeders, Corellian corvettes, and fighter squadrons. However, these forces are no match for the Imperial military. In terms of raw strength, you'll find yourself clearly overmatched from the very outset, so you'll need to rally the planets to join your cause and execute targeted military strikes to sabotage Imperial build yards and steal valuable intelligence. To win the Galactic Civil War, you'll need to sway the galaxy's citizens to your cause. If you survive long enough and strengthen your reputation, you inspire the galaxy to a full-scale revolt, and you win.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;Featuring more than 150 plastic miniatures and two game boards that account for thirty-two of the Star Wars galaxy's most notable systems, Rebellion features a scope that is as large and sweeping as any Star Wars game before it.&lt;br/&gt;&lt;br/&gt;Yet for all its grandiosity, Rebellion remains intensely personal, cinematic, and heroic. As much as your success depends upon the strength of your starships, vehicles, and troops, it depends upon the individual efforts of such notable characters as Leia Organa, Mon Mothma, Grand Moff Tarkin, and Emperor Palpatine. As civil war spreads throughout the galaxy, these leaders are invaluable to your efforts, and the secret missions they attempt will evoke many of the most inspiring moments from the classic trilogy. You might send Luke Skywalker to receive Jedi training on Dagobah or have Darth Vader spring a trap that freezes Han Solo in carbonite!&lt;br/&gt;&lt;br/&gt;</description>]"
54,This War of Mine,188920,9.0,,7.0,"['Adventure', 'Exploration', 'Mature / Adult', 'Modern Warfare', 'Video Game Theme']","[<description>This War Of Mine: The Board Game is the tabletop adaptation of the award-winning video game that pictures the drama of civilians trapped in a war-torn city.&lt;br/&gt;&lt;br/&gt;You will enter this experience as a group of civilians trapped in a besieged and conflict-ridden city, enduring many hardships that often test the essence of humanity.&lt;br/&gt;&lt;br/&gt;During day time you will take shelter in a ruined tenement house, which you will care about and manage by: removing rubble, searching through various rooms (often behind barricaded doors), you will build beds, improvised workshops, stoves, tools, water filters, small animal traps, you will cultivate an improvised vegetable garden, fix the tenements&amp;rsquo; shelled facilities, reinforce the security of your shelter and should winter come, you&amp;rsquo;ll try to keep it warm.&lt;br/&gt;&lt;br/&gt;Upon nightfall your main duties will consist of guarding your shelter and what little possessions you can accumulate against bandits and raiders. Those in your group fit for such a task will use the cover of the night to carefully explore dozens of the ever-changing locations scattered throughout the dangerous city in search of all the things that a person needs to survive (materials, food, meds, equipment, etc.). On your way you will meet tens of characters, each with a unique story (residents of the locations you visit, thieves, bandits, soldiers, war victims, refugees, neighbors, traders and members of local communities), each encounter is a potential, unique adventure. To guide you through all these events you will have the special SCRIPTS mechanism, responsible for implementing the deep and complex story and a coherent plot (each game will be unique and different than the previous).&lt;br/&gt;&lt;br/&gt;Your goal is to SURVIVE until the cessation of war hostilities. During your struggle as the survivors, you will experience dramas connected with making extremely difficult decisions and choices (you will have to face the consequences of your actions sooner or later in the playthrough). Survival itself will often prove not to be enough. The price each of you will decide to pay, might be too high in the final outcome. So the goal is really to survive in a way that will let you live on with the decisions you made. The EPILOGUES mechanism will kick in here.&lt;br/&gt;&lt;br/&gt;TWOM: The Board Game features a multiplayer experience for up to 6 players, as well as a solo variant. You will be able to personify one of the well-known characters from the electronic version of the game and face hundreds of new challenges and difficult choices.&lt;br/&gt;&lt;br/&gt;The boardgame significantly broadens the original game&amp;rsquo;s universe and emphasises the depth of plot, yet its main focus will be on human interactions driven by survival instinct and group decision-making.&lt;br/&gt;&lt;br/&gt;The project aims to omit the usual boardgame threshold - TWOM: The Board Game is an INSTANT PLAY game, with no need for reading the manual before starting the adventure.&lt;br/&gt;&lt;br/&gt;Experience the simulation of a struggle for survival as a group of civilians facing a blind and merciless war.&lt;br/&gt;&lt;br/&gt;In war, not everyone is a soldier.&lt;br/&gt;&lt;br/&gt;</description>]"
55,KAWA: A Game About Flow,313696,4.0,,2.0,"['Abstract Strategy', 'Animals', 'Environmental', 'Territory Building']","[<description>Kawa is a game of quiet contemplation for 2 to 4 players, named after the word for river (川) in Japanese.&lt;br/&gt;&lt;br/&gt;In Kawa, you guide petals down a river made up of 16 unique tiles. Each round, players will follow the currents and eddies printed on the tiles to send their petals downstream, leaving petals behind as they do.&lt;br/&gt;&lt;br/&gt;As the river comes alive with colour, players must carefully avoid flowing into other players' petals&amp;mdash;when that occurs, those players gain points. This is made all the more challenging as when each player flows, they swap two adjacent river tiles, changing up the river's paths.&lt;br/&gt;&lt;br/&gt;Between each round, the river flows forward, washing away the furthest row of tiles and shuffling them back to the start. Hence, simply following the river's currents is easy - but mastering the game will require players to learn to read its constantly changing flow. After four rounds, the player with the most points wins.&lt;br/&gt;&lt;br/&gt;Flora and fauna, represented as special tiles, breathe life into the river. Every game, players replace two river tiles with special tiles, each with their own unique effects. These range from a Crab that shuffles up the board by scuttling across the river, to a Shrine that rewards players for spreading their petals across as much as the river as possible. With nine different special tiles of varying complexity to choose from, both casual and hardcore players will find something new to love each foray down the river.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
56,Dead of Winter: A Crossroads Game,150376,6.0,8.0,4.0,"['Bluffing', 'Deduction', 'Horror', 'Zombies']","[<description>&amp;quot;Crossroads&amp;quot; is a game series from Plaid Hat Games that tests a group of survivors' ability to work together and stay alive while facing crises and challenges from both outside and inside. Dead of Winter: A Crossroads Game, the first title in this series, puts 2-5 players in a small, weakened colony of survivors in a world in which most of humanity is either dead or diseased, flesh-craving monsters. Each player leads a faction of survivors, with dozens of different characters in the game.&lt;br/&gt;&lt;br/&gt;Dead of Winter is a meta-cooperative psychological survival game. This means players are working together toward one common victory condition, but for each individual player to achieve victory, they must also complete their personal secret objective, which could relate to a psychological tick that's fairly harmless to most others in the colony, a dangerous obsession that could put the main objective at risk, a desire for sabotage of the main mission, or (worst of all) vengeance against the colony! Games could end with all players winning, some winning and some losing, or all players losing. Work toward the group's goal, but don't get walked all over by a loudmouth who's looking out only for their own interests!&lt;br/&gt;&lt;br/&gt;Dead of Winter is an experience that can be accomplished only through the medium of tabletop games, a story-centric game about surviving through a harsh winter in an apocalyptic world. The survivors are all dealing with their own psychological imperatives, but must still find a way to work together to fight off outside threats, resolve crises, find food and supplies, and keep the colony's morale up.&lt;br/&gt;&lt;br/&gt;Dead of Winter has players making frequent, difficult, heavily-thematic, wildly-varying decisions that often have them deciding between what's best for the colony and what's best for themselves. The rulebook also includes a fully co-operative variant in which all players work toward the group objective with no personal goals.&lt;br/&gt;&lt;br/&gt;</description>]"
57,Quartermaster General WW2,331979,9.0,,7.0,"['Wargame', 'World War II']","[<description>Quartermaster General is a card-driven game that puts players in command of the major powers of the Second World War. In the game, supply is crucial to keep your armies and navies fighting; destroy your enemies' supply lines and their forces will surrender! You control one or more countries on either the Axis or Allied team and try to score as many victory points (VPs) for your team as you can through the use of cards or by occupying the starred supply spaces. Each major power has a unique set of cards with which to marshal its forces of army and navy pieces on a map. After twenty rounds  the team with the most VPs wins.&lt;br/&gt;&lt;br/&gt;From the publisher,&lt;br/&gt;&amp;quot;WW2 Quartermaster General Second Edition completely revamps the award-winning title originally released in 2014 by micro-publisher Griggling Games.&amp;quot;&lt;br/&gt;&lt;br/&gt;Major rule changes from the first edition:&lt;br/&gt;&lt;br/&gt;     Win condition: You cannot win by occupying territory, you now win by being ahead by 30 points or by having the most points after 20 rounds.&lt;br/&gt;     Card texts are rules in this game, and many card texts have changed significantly. An additional four cards (rules) have been added.&lt;br/&gt;     Some map areas have new borders, altering the map and strategic situation.&lt;br/&gt;     Discard and deck depletion rules are changed and now incur VP loss. &lt;br/&gt;     The new Resource Allocation rule allow players to search the draw deck, fundamentally changing the tactics of the game.&lt;br/&gt;     The United States faction have additional map units.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;Other changes to the second version according to the publisher:&lt;br/&gt;&lt;br/&gt;     The play balance has been fixed to ensure both teams now have an equal chance at victory. &lt;br/&gt;     Updated rules to ensure smoother game play and avoid early knockouts due to economic warfare.&lt;br/&gt;     Cards have been edited, changed, or completely replaced. &lt;br/&gt;     The card balance has been altered, so that players will find some of the worst cards have been up-powered, and the decks changed to ensure that no specific cards seem necessary for victory.&lt;br/&gt;     More cards will are added to the mix&lt;br/&gt;     One more United States Navy piece to help them pursue a war in both the Atlantic and Pacific.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;Quartermaster General WW2, released in 2019, is a second edition of the game revised to improve its ease of play, clarity, and play balance.&lt;br/&gt;&lt;br/&gt;</description>]"
58,"So, You've Been Eaten",284842,7.0,,5.0,"['Adventure', 'Card Game', 'Dice', 'Science Fiction']","[<description>NOTE: This is a game for 0 - 2 players. The BGG database does not allow a player count of 0.&lt;br/&gt;&lt;br/&gt;So, you've been eaten.&lt;br/&gt;&lt;br/&gt;Don't worry, this is simply an occupational hazard. In fact, it is fairly common among Deep Space Miners (5th class), and some say that it is almost unavoidable. And, well, it is. Especially since the crystals that you seek happen to be inside giant space beasts. To mine them, you need to, well, be eaten.&lt;br/&gt;&lt;br/&gt;But, no reason to panic. We are here to help you deal with the physical and mental challenges of being eaten. This handy simulation/survival guide is standard issue for all recruits and will eventually lead to a productive, if not potentially brief, career in space mining.&lt;br/&gt;&lt;br/&gt;Should you achieve your objective and mine enough crystals to meet your quota, it is then cost-effective for the company to activate your jet pack and extricate you from the proverbial belly of the beast. While the beast&amp;rsquo;s immune response was not enough to prevent its demise, its contribution to human progress and corporate profitability are most definitely appreciated.&lt;br/&gt;&lt;br/&gt;In the eventuality that the bacteria present in the beast overwhelm you and you are digested, do not worry. Your non-organic parts will ultimately provide much utility to future space miners. In fact, you may encounter some such pieces of equipment in your expedition, remains of attempts by evidently less-than-qualified recruits.&lt;br/&gt;&lt;br/&gt;Finally, it could transpire that you do not collect the necessary crystals by the time you reach the end of the beast's digestive tract. In this case, the so-called &amp;quot;ending #2&amp;quot;, you will then exit the beast from the other end than the one you entered. Alive, and yet forever changed. In this case, and after a thorough decontamination and quarantine period, we will have to evaluate your performance versus that of the beast&amp;rsquo;s efforts to consume you.&lt;br/&gt;&lt;br/&gt;In So, You've Been Eaten. the Miner and the Beast face off against one another. The Miner earns points by collecting crystals, and the Beast earns points by developing immune responses and by its bacteria attacking the Miner.&lt;br/&gt;&lt;br/&gt;The Miner wins instantly by collecting all eight different crystals, and the Beast wins instantly by digesting the Miner after the attack of four bacteria of the same type. Of course, there's always the possibility that the Miner will simply pass through the Beast's system, in which case the player with the most points wins!&lt;br/&gt;&lt;br/&gt;So, You've Been Eaten. can be played as:&lt;br/&gt;&lt;br/&gt;        A game for 2 players, with a Miner player against a Beast player.&lt;br/&gt;        A game for 1 player, with the Miner player against a sleeping Beast.&lt;br/&gt;        A game for 1 player, with the Beast player against a robot Miner.&lt;br/&gt;        A game for 0 players, with a sleeping Beast against a robot Miner.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;</description>]"
59,LOOP,69865,5.0,,3.0,"['Abstract Strategy', 'Card Game']","[<description>Loop is a semi-cooperative abstract strategy game for up to six players or teams.&lt;br/&gt;&lt;br/&gt;Play involves laying cards to build colored loops, with longer loops worth more points at the end of the game.  Players accrue victory points for loops of certain colors, so building a red loop, for example, will gain either single, double, or no points for each player.&lt;br/&gt;&lt;br/&gt;Each player has their own hidden agenda - even though they will naturally work together to build a loop, each of their six Victory condition cards is different, awarding different multipliers for each color.  Each loop you help to build will gain points for other players too, so some network blocking/redirecting strategy will be needed to make sure you come out on top.&lt;br/&gt;&lt;br/&gt;Suggestions are included for team play and for family gaming.&lt;br/&gt;&lt;br/&gt;</description>]"
60,Rocket Cats,294604,3.0,,2.0,"['Animals', 'Fighting', 'Humor', 'Party Game', 'Video Game Theme']","[<description>&amp;quot;A card drafting and programming party game in the vein of old 2D turn-based artillery games!&amp;quot;&lt;br/&gt;&lt;br/&gt;Rocket Cats is a light-hearted, accessible, and exciting strategy game (with an easy to learn Party Mode) where teams of cats try to take out their traitorous family member (either Romeow or Julicat). The first team to take all 9 lives of their traitor wins the game!&lt;br/&gt;&lt;br/&gt;But these families are bringing in the big guns. We're talking drone strikes, holy hand grenades, rocket launchers, sticky bombs, napalm strikes, explosive arrows, and more!&lt;br/&gt;&lt;br/&gt;Each turn, you will draft 5 cards, program them out in front of you (choosing the top or bottom action of each card), then watch the chaos unfold. After each turn, projectiles move (either due to gravity or due to their momentum) and airborne cats fall toward the ground.&lt;br/&gt;&lt;br/&gt;Just remember, no plan survives contact with the enemy. Your carefully placed grenade might be run into by your own teammate. Your sprint could be negated as you're pushed off the ceiling fan. Your enemy could slap you so hard you spin around and start attacking your own team!&lt;br/&gt;&lt;br/&gt;Rocket Cats was born out of our love for old-school, 2-dimensional, side-scrolling artillery games like Worms Armageddon and Scorched Earth. We wanted to take the fun, chaotic excitement from these games and transform it into a boardgame. A game where you know things probably won&amp;rsquo;t end up exactly as you planned&amp;hellip; which is half the fun!&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the designer&lt;br/&gt;&lt;br/&gt;</description>]"
61,Pilfering Pandas,330954,8.0,,7.0,"['Animals', 'Card Game', 'Puzzle']","[<description>You&amp;rsquo;re a busy group of pandas planning your escape from the zoo but you&amp;rsquo;ll need supplies. You have been rummaging and pilfering unwanted food from all the other animals but now the Zoo Keeper is on to you. You must quickly trade all the goods you have collected so you can get the supplies you need and make your escape before you get caught. But be careful, certain actions will raise the Zoo Keeper&amp;rsquo;s suspicion more than others.&lt;br/&gt;&lt;br/&gt;Pilfering Pandas is a reinvention of a classic card game but we've made a huge number of changes, not least creating a cooperative and solo mode. Pilfering Pandas is the third game from Wren Games who aim to bring back gaming to busy people. Pilfering Pandas therefore have a short playtime but we maintain depth of decisions and intuitive gameplay to give a game with some bite.&lt;br/&gt;&lt;br/&gt;Pilfering Pandas has similarities to Rummy as you are making number sets and runs but it also has this really interesting discard pile mechanism and this was the thing that we most wanted to bring to modern-day gaming.&lt;br/&gt;&lt;br/&gt;The Hideout is where you 'discard' a card but unlike traditional discard piles, the Hideout is not a pile, it's a spread of cards visible to all players and, for a fee, you can pick up as many cards as you want from it and make huge plays of sets in a single turn (there's only a hand limit in solo games).&lt;br/&gt;&lt;br/&gt;Players must collect sets and trade them with the Meerkats to earn points to increase their chance of escaping from the zoo. However, they must always stay at least one step ahead of the zoo keeper so they don't get caught by playing and picking up cards wisely and efficiently.&lt;br/&gt;&lt;br/&gt;But didn't want Pilfering Pandas to be just another set collection game so we also introduced a whole new level to set collecting whereby the previous sets you play directly effects what sets you can play in the future, making it much more strategic than traditional set collecting games.&lt;br/&gt;&lt;br/&gt;-description from designer&lt;br/&gt;&lt;br/&gt;</description>]"
